cpu power (w)      , gpu power (w), energy use (kwh/year), grid carbon intensity (kg co2/kwh), operational emissions (kg co2), manufacturing emissions (kg co2), disposal emissions (kg co2), operational emissions, predicted_emissions (kg co2)
 8.39              ,          4.69,               269.922,                              0.644,                          0.02 ,                              100,                          20,    173.82976800000003,                    293.82883
 8.09              ,          4.61,               262.305,                              0.644,                          0.019,                              100,                          20,    168.92442         ,                    287.67972
 7.459999999999999 ,          4.54,               248.062,                              0.644,                          0.018,                              100,                          20,    159.75192800000002,                    279.77588
 9.11              ,          5.19,               295.86 ,                              0.644,                          0.022,                              100,                          20,    190.53384000000003,                    310.55066
 7.07              ,          5.25,               255.111,                              0.644,                          0.019,                              100,                          20,    164.291484        ,                    284.26923
 6.47              ,          5.44,               344.439,                              0.641,                          0.025,                              100,                          20,    220.785399        ,                    340.31604
 7.13              ,          5.47,               364.533,                              0.641,                          0.027,                              100,                          20,    233.665653        ,                    353.72812
 6.83              ,          5.07,               344.405,                              0.641,                          0.025,                              100,                          20,    220.763605        ,                    340.7468
 6.02              ,          5.49,               333.243,                              0.641,                          0.024,                              100,                          20,    213.608763        ,                    333.80682
 9.02              ,          5.35,               416.195,                              0.641,                          0.03 ,                              100,                          20,    266.780995        ,                    386.69745
11.0               ,          5.28,               471.684,                              0.641,                          0.035,                              100,                          20,    302.349444        ,                    422.34952
 6.44              ,          4.97,               330.701,                              0.641,                          0.024,                              100,                          20,    211.979341        ,                    333.05176
 6.859999999999999 ,          5.07,               345.895,                              0.641,                          0.025,                              100,                          20,    221.718695        ,                    341.9147
 6.41              ,          5.54,               346.599,                              0.641,                          0.025,                              100,                          20,    222.169959        ,                    342.09128
 8.51              ,          5.51,               406.784,                              0.641,                          0.03 ,                              100,                          20,    260.748544        ,                    380.43353
 9.32              ,          5.41,               427.539,                              0.641,                          0.031,                              100,                          20,    274.052499        ,                    394.138
 7.279999999999999 ,          5.56,               372.814,                              0.641,                          0.027,                              100,                          20,    238.973774        ,                    359.0295
 6.62              ,          5.63,               355.81 ,                              0.641,                          0.026,                              100,                          20,    228.07421         ,                    348.11066
 5.8100000000000005,          5.56,               330.366,                              0.641,                          0.024,                              100,                          20,    211.764606        ,                    331.69266
 7.279999999999999 ,          5.43,               369.433,                              0.641,                          0.027,                              100,                          20,    236.806553        ,                    357.01413
 6.83              ,          5.47,               357.648,                              0.641,                          0.026,                              100,                          20,    229.252368        ,                    349.2035
 6.890000000000001 ,          5.4 ,               357.485,                              0.641,                          0.026,                              100,                          20,    229.147885        ,                    349.14435
 6.83              ,          5.41,               356.16 ,                              0.641,                          0.026,                              100,                          20,    228.29856         ,                    348.50308
 6.29              ,          5.55,               344.648,                              0.641,                          0.025,                              100,                          20,    220.919368        ,                    340.8801
 6.29              ,          5.63,               347.101,                              0.641,                          0.025,                              100,                          20,    222.491741        ,                    342.65414
 9.23              ,          5.59,               431.702,                              0.641,                          0.032,                              100,                          20,    276.720982        ,                    395.7362
 6.59              ,          5.45,               350.847,                              0.641,                          0.026,                              100,                          20,    224.892927        ,                    344.92212
 6.8               ,          5.71,               364.674,                              0.641,                          0.027,                              100,                          20,    233.756034        ,                    353.8642
 6.62              ,          5.64,               357.514,                              0.641,                          0.026,                              100,                          20,    229.166474        ,                    349.10315
