cpu power (w)      , gpu power (w), energy use (kwh/year), grid carbon intensity (kg co2/kwh), operational emissions (kg co2), manufacturing emissions (kg co2), disposal emissions (kg co2), operational emissions, predicted_emissions (kg co2)
 5.84              ,          5.28,               336.822,                              0.641,                          0.025,                              100,                          20,    215.902902        ,                    335.87454
 5.15              ,          5.16,               312.398,                              0.641,                          0.023,                              100,                          20,    200.24711800000003,                    320.21674
 6.08              ,          5.49,               350.698,                              0.641,                          0.026,                              100,                          20,    224.797418        ,                    344.91196
 5.9               ,          5.62,               349.308,                              0.641,                          0.026,                              100,                          20,    223.906428        ,                    343.84268
 5.96              ,          5.73,               354.585,                              0.641,                          0.026,                              100,                          20,    227.288985        ,                    347.01578
 5.78              ,          5.31,               336.501,                              0.641,                          0.025,                              100,                          20,    215.697141        ,                    335.88123
 6.2               ,          5.7 ,               361.203,                              0.641,                          0.026,                              100,                          20,    231.531123        ,                    351.5265
 5.57              ,          5.73,               343.108,                              0.641,                          0.025,                              100,                          20,    219.932228        ,                    339.96423
 5.75              ,          5.6 ,               344.746,                              0.641,                          0.025,                              100,                          20,    220.982186        ,                    341.0013
 5.6               ,          5.66,               342.132,                              0.641,                          0.025,                              100,                          20,    219.306612        ,                    339.29337
 6.26              ,          5.62,               361.095,                              0.641,                          0.026,                              100,                          20,    231.46189500000003,                    351.4565
 6.98              ,          5.66,               384.327,                              0.641,                          0.028,                              100,                          20,    246.353607        ,                    366.30856
 5.87              ,          5.41,               343.094,                              0.641,                          0.025,                              100,                          20,    219.923254        ,                    340.1262
 5.39              ,          5.77,               339.563,                              0.641,                          0.025,                              100,                          20,    217.659883        ,                    337.73154
 6.529999999999999 ,          5.73,               373.16 ,                              0.641,                          0.027,                              100,                          20,    239.19556000000003,                    359.13376
 5.9               ,          5.7 ,               353.192,                              0.641,                          0.026,                              100,                          20,    226.396072        ,                    346.59805
 5.63              ,          5.74,               346.305,                              0.641,                          0.025,                              100,                          20,    221.981505        ,                    342.1138
 5.57              ,          5.65,               341.854,                              0.641,                          0.025,                              100,                          20,    219.128414        ,                    339.0898
 6.14              ,          5.45,               353.245,                              0.641,                          0.026,                              100,                          20,    226.430045        ,                    346.44516
 7.31              ,          5.6 ,               393.609,                              0.641,                          0.029,                              100,                          20,    252.303369        ,                    372.508
12.95              ,         10.54,               716.386,                              0.641,                          0.052,                              100,                          20,    459.203426        ,                    579.2699
12.8               ,         18.78,               963.389,                              0.641,                          0.07 ,                              100,                          20,    617.5323490000001 ,                    737.52795
 8.18              ,         18.97,               828.489,                              0.641,                          0.061,                              100,                          20,    531.061449        ,                    651.0318
 5.48              ,          5.57,               337.307,                              0.641,                          0.025,                              100,                          20,    216.213787        ,                    336.28348
 5.78              ,          5.61,               347.803,                              0.641,                          0.025,                              100,                          20,    222.941723        ,                    342.84286
 6.38              ,          5.7 ,               368.996,                              0.641,                          0.027,                              100,                          20,    236.526436        ,                    356.37503
 6.29              ,          5.24,               352.302,                              0.641,                          0.026,                              100,                          20,    225.82558200000005,                    345.7911
 8.690000000000001 ,          5.2 ,               424.559,                              0.641,                          0.031,                              100,                          20,    272.14231900000004,                    392.0778
 5.51              ,          5.28,               329.918,                              0.641,                          0.024,                              100,                          20,    211.477438        ,                    331.41794
 5.63              ,          5.53,               341.346,                              0.641,                          0.025,                              100,                          20,    218.802786        ,                    337.95114
 5.87              ,          5.08,               335.036,                              0.641,                          0.025,                              100,                          20,    214.758076        ,                    334.41727
 6.529999999999999 ,          5.49,               367.903,                              0.641,                          0.027,                              100,                          20,    235.825823        ,                    355.94516
 7.43              ,          5.41,               393.132,                              0.641,                          0.029,                              100,                          20,    251.997612        ,                    372.09314
 5.99              ,          5.23,               343.647,                              0.641,                          0.025,                              100,                          20,    220.277727        ,                    340.38568
 5.42              ,          5.54,               335.796,                              0.641,                          0.025,                              100,                          20,    215.245236        ,                    334.55334
 7.37              ,          5.31,               388.63 ,                              0.641,                          0.028,                              100,                          20,    249.11183         ,                    368.9587
10.94              ,          5.43,               501.894,                              0.641,                          0.037,                              100,                          20,    321.71405400000003,                    441.7379
 9.83              ,          5.34,               465.265,                              0.641,                          0.034,                              100,                          20,    298.234865        ,                    418.22125
 8.059999999999999 ,          5.19,               406.516,                              0.641,                          0.03 ,                              100,                          20,    260.57675600000005,                    380.61362
 8.120000000000001 ,          5.62,               421.692,                              0.641,                          0.031,                              100,                          20,    270.304572        ,                    390.3094
 5.8100000000000005,          5.66,               352.14 ,                              0.641,                          0.026,                              100,                          20,    225.72174         ,                    345.613
 6.05              ,          5.58,               357.172,                              0.641,                          0.026,                              100,                          20,    228.947252        ,                    348.93823
 5.9               ,          5.39,               346.846,                              0.641,                          0.025,                              100,                          20,    222.328286        ,                    342.17303
 6.8               ,          5.61,               381.384,                              0.641,                          0.028,                              100,                          20,    244.467144        ,                    364.51837
 5.63              ,          4.95,               325.254,                              0.641,                          0.024,                              100,                          20,    208.487814        ,                    327.73843
 6.95              ,          5.24,               374.878,                              0.641,                          0.027,                              100,                          20,    240.296798        ,                    360.3114
 9.35              ,          5.17,               446.681,                              0.641,                          0.033,                              100,                          20,    286.322521        ,                    406.3154
 9.71              ,          4.85,               448.066,                              0.641,                          0.033,                              100,                          20,    287.210306        ,                    407.05814
 8.39              ,          5.13,               416.202,                              0.641,                          0.03 ,                              100,                          20,    266.785482        ,                    386.80017
 9.56              ,          5.09,               451.141,                              0.641,                          0.033,                              100,                          20,    289.18138100000004,                    408.7136
 7.4               ,          5.13,               385.986,                              0.641,                          0.028,                              100,                          20,    247.417026        ,                    367.41125
 6.98              ,          5.11,               372.556,                              0.641,                          0.027,                              100,                          20,    238.808396        ,                    358.8197
 6.59              ,          5.37,               368.674,                              0.641,                          0.027,                              100,                          20,    236.320034        ,                    356.2859
 6.2               ,          5.44,               358.93 ,                              0.641,                          0.026,                              100,                          20,    230.07413         ,                    350.07327
 6.890000000000001 ,          5.48,               381.568,                              0.641,                          0.028,                              100,                          20,    244.585088        ,                    364.61673
 6.95              ,          5.33,               378.922,                              0.641,                          0.028,                              100,                          20,    242.88900200000003,                    362.95874
 7.85              ,          5.31,               406.212,                              0.641,                          0.03 ,                              100,                          20,    260.381892        ,                    380.44565
 7.01              ,          4.75,               363.122,                              0.641,                          0.027,                              100,                          20,    232.76120200000005,                    352.80298
 5.9               ,          5.44,               350.276,                              0.641,                          0.026,                              100,                          20,    224.526916        ,                    344.8163
 6.11              ,          5.24,               350.701,                              0.641,                          0.026,                              100,                          20,    224.79934100000003,                    344.9142
 5.9               ,          5.28,               345.566,                              0.641,                          0.025,                              100,                          20,    221.507806        ,                    341.5518
 5.93              ,          4.97,               337.026,                              0.641,                          0.025,                              100,                          20,    216.033666        ,                    335.86063
 7.4               ,          5.14,               387.867,                              0.641,                          0.028,                              100,                          20,    248.622747        ,                    368.63925
 7.220000000000001 ,          5.43,               391.403,                              0.641,                          0.029,                              100,                          20,    250.889323        ,                    370.70105
 7.279999999999999 ,          5.47,               394.64 ,                              0.641,                          0.029,                              100,                          20,    252.96424         ,                    372.90387
 6.29              ,          5.43,               362.884,                              0.641,                          0.027,                              100,                          20,    232.60864400000003,                    352.65475
 5.87              ,          5.47,               351.238,                              0.641,                          0.026,                              100,                          20,    225.143558        ,                    345.03827
 6.68              ,          5.38,               373.664,                              0.641,                          0.027,                              100,                          20,    239.518624        ,                    359.8828
 8.09              ,          5.18,               411.289,                              0.641,                          0.03 ,                              100,                          20,    263.636249        ,                    383.73965
 7.550000000000001 ,          5.2 ,               395.307,                              0.641,                          0.029,                              100,                          20,    253.391787        ,                    373.54877
 7.609999999999999 ,          5.24,               398.553,                              0.641,                          0.029,                              100,                          20,    255.472473        ,                    375.3415
 7.58              ,          5.15,               394.963,                              0.641,                          0.029,                              100,                          20,    253.171283        ,                    372.99316
 6.44              ,          5.28,               363.747,                              0.641,                          0.027,                              100,                          20,    233.161827        ,                    353.20956
 7.52              ,          5.24,               396.156,                              0.641,                          0.029,                              100,                          20,    253.935996        ,                    373.98138
 6.859999999999999 ,          5.2 ,               374.547,                              0.641,                          0.027,                              100,                          20,    240.084627        ,                    360.24695
 7.609999999999999 ,          5.22,               398.593,                              0.641,                          0.029,                              100,                          20,    255.498113        ,                    375.39615
 5.66              ,          4.95,               329.734,                              0.641,                          0.024,                              100,                          20,    211.359494        ,                    330.9194
 6.26              ,          4.82,               344.455,                              0.641,                          0.025,                              100,                          20,    220.795655        ,                    340.7955
 7.25              ,          5.34,               391.528,                              0.641,                          0.029,                              100,                          20,    250.96944800000003,                    370.8238
 7.13              ,          5.04,               378.592,                              0.641,                          0.028,                              100,                          20,    242.677472        ,                    362.4915
 7.34              ,          5.17,               389.298,                              0.641,                          0.028,                              100,                          20,    249.540018        ,                    369.7139
 8.3               ,          4.8 ,               407.795,                              0.641,                          0.03 ,                              100,                          20,    261.396595        ,                    380.9567
 7.73              ,          5.43,               409.798,                              0.641,                          0.03 ,                              100,                          20,    262.680518        ,                    382.70004
 7.82              ,          5.32,               409.311,                              0.641,                          0.03 ,                              100,                          20,    262.368351        ,                    382.6781
 6.47              ,          4.94,               355.538,                              0.641,                          0.026,                              100,                          20,    227.899858        ,                    347.95306
 6.29              ,          5.63,               371.554,                              0.641,                          0.027,                              100,                          20,    238.166114        ,                    358.16776
 7.04              ,          5.2 ,               381.657,                              0.641,                          0.028,                              100,                          20,    244.642137        ,                    364.6103
 5.75              ,          5.37,               346.85 ,                              0.641,                          0.025,                              100,                          20,    222.33085000000003,                    342.13657
10.82              ,          5.32,               503.598,                              0.641,                          0.037,                              100,                          20,    322.80631800000003,                    442.84375
 8.57              ,          4.89,               420.115,                              0.641,                          0.031,                              100,                          20,    269.293715        ,                    389.3401
19.76              ,          5.32,               783.059,                              0.641,                          0.057,                              100,                          20,    501.940819        ,                    609.38385
10.7               ,          5.36,               501.599,                              0.641,                          0.037,                              100,                          20,    321.524959        ,                    441.36972
 7.220000000000001 ,          5.0 ,               381.824,                              0.641,                          0.028,                              100,                          20,    244.749184        ,                    364.74344
 5.93              ,          5.41,               354.445,                              0.641,                          0.026,                              100,                          20,    227.199245        ,                    346.95715
 7.73              ,          5.09,               400.836,                              0.641,                          0.029,                              100,                          20,    256.935876        ,                    376.9448
 8.120000000000001 ,          5.2 ,               416.608,                              0.641,                          0.03 ,                              100,                          20,    267.045728        ,                    386.99353
 6.29              ,          5.33,               363.558,                              0.641,                          0.027,                              100,                          20,    233.040678        ,                    352.8428
 7.49              ,          5.29,               399.983,                              0.641,                          0.029,                              100,                          20,    256.38910300000003,                    376.54095
 8.3               ,          5.24,               423.908,                              0.641,                          0.031,                              100,                          20,    271.725028        ,                    391.84558
 7.609999999999999 ,          5.18,               400.558,                              0.641,                          0.029,                              100,                          20,    256.757678        ,                    376.83954
 7.790000000000001 ,          5.14,               405.081,                              0.641,                          0.03 ,                              100,                          20,    259.656921        ,                    379.67215
 9.02              ,          5.17,               444.706,                              0.641,                          0.033,                              100,                          20,    285.056546        ,                    405.19623
 5.39              ,          5.11,               329.173,                              0.641,                          0.024,                              100,                          20,    210.999893        ,                    327.82245
 5.36              ,          5.23,               332.104,                              0.641,                          0.024,                              100,                          20,    212.878664        ,                    332.9005
 5.8100000000000005,          5.35,               350.097,                              0.641,                          0.026,                              100,                          20,    224.412177        ,                    344.11588
 5.42              ,          4.42,               308.815,                              0.641,                          0.023,                              100,                          20,    197.950415        ,                    308.6055
 5.48              ,          4.8 ,               322.734,                              0.641,                          0.024,                              100,                          20,    206.872494        ,                    327.00302
 5.87              ,          5.26,               349.541,                              0.641,                          0.026,                              100,                          20,    224.055781        ,                    344.10202
 5.51              ,          5.3 ,               339.618,                              0.641,                          0.025,                              100,                          20,    217.695138        ,                    337.78253
 5.9               ,          5.22,               349.476,                              0.641,                          0.026,                              100,                          20,    224.014116        ,                    343.89874
 5.8100000000000005,          5.18,               345.507,                              0.641,                          0.025,                              100,                          20,    221.469987        ,                    341.5337
 7.1               ,          5.46,               394.997,                              0.641,                          0.029,                              100,                          20,    253.193077        ,                    372.87924
 5.6               ,          5.58,               351.722,                              0.641,                          0.026,                              100,                          20,    225.453802        ,                    345.52084
 5.36              ,          5.24,               333.588,                              0.641,                          0.024,                              100,                          20,    213.829908        ,                    333.75903
 5.69              ,          4.94,               334.651,                              0.641,                          0.024,                              100,                          20,    214.511291        ,                    334.4023
 5.54              ,          5.47,               346.728,                              0.641,                          0.025,                              100,                          20,    222.252648        ,                    342.18442
 8.96              ,          4.85,               435.049,                              0.641,                          0.032,                              100,                          20,    278.866409        ,                    398.8462
 8.629999999999999 ,          5.0 ,               429.52 ,                              0.641,                          0.031,                              100,                          20,    275.32232         ,                    395.27884
10.669999999999998 ,          4.85,               489.239,                              0.641,                          0.036,                              100,                          20,    313.602199        ,                    433.62363
 7.52              ,          5.6 ,               415.923,                              0.641,                          0.03 ,                              100,                          20,    266.606643        ,                    386.62073
 7.279999999999999 ,          5.57,               407.497,                              0.641,                          0.03 ,                              100,                          20,    261.205577        ,                    381.15793
 5.75              ,          5.65,               361.635,                              0.641,                          0.026,                              100,                          20,    231.808035        ,                    351.80206
 5.39              ,          5.68,               351.281,                              0.641,                          0.026,                              100,                          20,    225.171121        ,                    345.27924
 5.39              ,          5.66,               350.76 ,                              0.641,                          0.026,                              100,                          20,    224.83716         ,                    344.9477
 5.54              ,          5.73,               357.858,                              0.641,                          0.026,                              100,                          20,    229.386978        ,                    349.30777
 7.279999999999999 ,          5.75,               413.876,                              0.641,                          0.03 ,                              100,                          20,    265.294516        ,                    385.2362
 5.9               ,          5.57,               364.443,                              0.641,                          0.027,                              100,                          20,    233.607963        ,                    353.60007
 5.78              ,          5.36,               354.072,                              0.641,                          0.026,                              100,                          20,    226.960152        ,                    346.85068
 5.36              ,          5.74,               352.914,                              0.641,                          0.026,                              100,                          20,    226.217874        ,                    346.05228
 5.36              ,          5.61,               348.895,                              0.641,                          0.026,                              100,                          20,    223.641695        ,                    343.77896
 6.29              ,          5.66,               380.186,                              0.641,                          0.028,                              100,                          20,    243.699226        ,                    363.55313
 5.9               ,          5.57,               365.034,                              0.641,                          0.027,                              100,                          20,    233.986794        ,                    353.7899
 6.02              ,          5.74,               374.386,                              0.641,                          0.027,                              100,                          20,    239.98142600000003,                    360.017
 5.66              ,          5.75,               363.361,                              0.641,                          0.027,                              100,                          20,    232.914401        ,                    352.843
 5.51              ,          5.53,               351.691,                              0.641,                          0.026,                              100,                          20,    225.433931        ,                    345.2476
 7.25              ,          5.94,               420.319,                              0.641,                          0.031,                              100,                          20,    269.424479        ,                    389.35953
 6.26              ,          5.62,               378.695,                              0.641,                          0.028,                              100,                          20,    242.743495        ,                    362.83493
 6.26              ,          5.79,               384.239,                              0.641,                          0.028,                              100,                          20,    246.297199        ,                    366.20154
 5.48              ,          5.84,               361.078,                              0.641,                          0.026,                              100,                          20,    231.450998        ,                    351.44254
 6.2               ,          5.86,               384.807,                              0.641,                          0.028,                              100,                          20,    246.661287        ,                    366.68686
 5.57              ,          5.56,               355.247,                              0.641,                          0.026,                              100,                          20,    227.713327        ,                    348.02667
 5.39              ,          5.7 ,               354.084,                              0.641,                          0.026,                              100,                          20,    226.967844        ,                    346.94226
 5.69              ,          5.73,               364.738,                              0.641,                          0.027,                              100,                          20,    233.797058        ,                    353.8045
 5.69              ,          5.79,               366.773,                              0.641,                          0.027,                              100,                          20,    235.10149300000003,                    355.49255
 6.08              ,          5.8 ,               379.674,                              0.641,                          0.028,                              100,                          20,    243.371034        ,                    363.35043
 5.51              ,          5.84,               362.852,                              0.641,                          0.027,                              100,                          20,    232.588132        ,                    352.62347
 5.8100000000000005,          5.4 ,               358.492,                              0.641,                          0.026,                              100,                          20,    229.793372        ,                    350.19382
 6.77              ,          5.76,               400.834,                              0.641,                          0.029,                              100,                          20,    256.934594        ,                    376.87662
 5.69              ,          5.66,               363.203,                              0.641,                          0.027,                              100,                          20,    232.813123        ,                    352.7925
 5.6               ,          5.38,               351.476,                              0.641,                          0.026,                              100,                          20,    225.296116        ,                    345.28012
 5.9               ,          5.81,               374.965,                              0.641,                          0.027,                              100,                          20,    240.352565        ,                    360.3668
 6.5600000000000005,          5.51,               386.619,                              0.641,                          0.028,                              100,                          20,    247.82277900000005,                    368.28497
 5.63              ,          5.42,               354.062,                              0.641,                          0.026,                              100,                          20,    226.953742        ,                    346.92346
 6.83              ,          5.59,               398.087,                              0.641,                          0.029,                              100,                          20,    255.173767        ,                    375.16745
 5.96              ,          5.41,               364.549,                              0.641,                          0.027,                              100,                          20,    233.675909        ,                    353.67056
 5.75              ,          5.93,               374.61 ,                              0.641,                          0.027,                              100,                          20,    240.12501         ,                    360.15775
 5.57              ,          5.84,               366.068,                              0.641,                          0.027,                              100,                          20,    234.649588        ,                    354.5332
 5.51              ,          5.86,               364.902,                              0.641,                          0.027,                              100,                          20,    233.902182        ,                    353.8406
 6.5600000000000005,          5.77,               395.838,                              0.641,                          0.029,                              100,                          20,    253.73215800000003,                    373.75964
 5.39              ,          5.83,               360.319,                              0.641,                          0.026,                              100,                          20,    230.964479        ,                    351.08615
 5.51              ,          5.5 ,               353.688,                              0.641,                          0.026,                              100,                          20,    226.714008        ,                    346.74765
 5.3               ,          5.4 ,               343.839,                              0.641,                          0.025,                              100,                          20,    220.400799        ,                    340.31317
 5.48              ,          5.37,               348.771,                              0.641,                          0.026,                              100,                          20,    223.562211        ,                    343.66168
 5.66              ,          5.6 ,               362.066,                              0.641,                          0.026,                              100,                          20,    232.084306        ,                    351.82446
 6.2               ,          5.83,               386.95 ,                              0.641,                          0.028,                              100,                          20,    248.03495         ,                    368.10376
 5.45              ,          5.68,               358.117,                              0.641,                          0.026,                              100,                          20,    229.552997        ,                    349.46436
 5.69              ,          5.81,               370.141,                              0.641,                          0.027,                              100,                          20,    237.260381        ,                    357.21164
 5.48              ,          5.8 ,               363.175,                              0.641,                          0.027,                              100,                          20,    232.795175        ,                    352.77972
 5.6               ,          5.78,               366.512,                              0.641,                          0.027,                              100,                          20,    234.934192        ,                    354.79395
 5.51              ,          5.71,               361.476,                              0.641,                          0.026,                              100,                          20,    231.706116        ,                    351.8307
 5.27              ,          5.64,               351.6  ,                              0.641,                          0.026,                              100,                          20,    225.3756          ,                    345.31912
 5.78              ,          5.8 ,               373.321,                              0.641,                          0.027,                              100,                          20,    239.298761        ,                    359.24298
 5.27              ,          5.65,               352.155,                              0.641,                          0.026,                              100,                          20,    225.731355        ,                    345.80734
 5.93              ,          5.6 ,               371.945,                              0.641,                          0.027,                              100,                          20,    238.416745        ,                    358.40253
 5.93              ,          5.82,               379.163,                              0.641,                          0.028,                              100,                          20,    243.043483        ,                    363.02908
 5.51              ,          5.8 ,               365.081,                              0.641,                          0.027,                              100,                          20,    234.016921        ,                    353.93256
 5.27              ,          5.7 ,               354.219,                              0.641,                          0.026,                              100,                          20,    227.054379        ,                    347.00067
 5.66              ,          5.73,               367.897,                              0.641,                          0.027,                              100,                          20,    235.821977        ,                    355.89545
 8.21              ,          5.82,               453.313,                              0.641,                          0.033,                              100,                          20,    290.573633        ,                    409.18643
 5.69              ,          5.77,               370.396,                              0.641,                          0.027,                              100,                          20,    237.423836        ,                    357.2049
 6.2               ,          5.78,               387.328,                              0.641,                          0.028,                              100,                          20,    248.277248        ,                    368.2812
 5.69              ,          5.78,               370.958,                              0.641,                          0.027,                              100,                          20,    237.784078        ,                    357.75842
 5.54              ,          5.59,               360.08 ,                              0.641,                          0.026,                              100,                          20,    230.81128         ,                    350.60706
 5.87              ,          5.39,               364.464,                              0.641,                          0.027,                              100,                          20,    233.621424        ,                    353.67108
 7.31              ,          5.76,               423.185,                              0.641,                          0.031,                              100,                          20,    271.261585        ,                    391.20654
 5.87              ,          5.77,               377.004,                              0.641,                          0.028,                              100,                          20,    241.659564        ,                    361.7087
 5.54              ,          5.9 ,               370.644,                              0.641,                          0.027,                              100,                          20,    237.582804        ,                    357.62753
